accs,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,epochs_trained
0.2482,829.0,368.0,554.0,673.0,89.0,579.0,64.0,490.0,939.0,560.0,20
0.3149,829.0,368.0,554.0,673.0,89.0,579.0,64.0,490.0,939.0,560.0,30
0.3501,829.0,368.0,554.0,673.0,89.0,579.0,64.0,490.0,939.0,560.0,40
0.3698,829.0,368.0,554.0,673.0,89.0,579.0,64.0,490.0,939.0,560.0,50
0.3783,829.0,368.0,554.0,673.0,89.0,579.0,64.0,490.0,939.0,560.0,60
0.1103,126.0,93.0,214.0,453.0,213.0,648.0,794.0,712.0,196.0,138.0,10
0.1716,126.0,93.0,214.0,453.0,213.0,648.0,794.0,712.0,196.0,138.0,20
0.2343,126.0,93.0,214.0,453.0,213.0,648.0,794.0,712.0,196.0,138.0,30
0.2758,126.0,93.0,214.0,453.0,213.0,648.0,794.0,712.0,196.0,138.0,40
0.3166,126.0,93.0,214.0,453.0,213.0,648.0,794.0,712.0,196.0,138.0,50
0.3164,126.0,93.0,214.0,453.0,213.0,648.0,794.0,712.0,196.0,138.0,60
0.199,332.0,635.0,817.0,62.0,303.0,492.0,950.0,291.0,942.0,489.0,10
0.2771,332.0,635.0,817.0,62.0,303.0,492.0,950.0,291.0,942.0,489.0,20
0.3323,332.0,635.0,817.0,62.0,303.0,492.0,950.0,291.0,942.0,489.0,30
0.3824,332.0,635.0,817.0,62.0,303.0,492.0,950.0,291.0,942.0,489.0,40
0.4225,332.0,635.0,817.0,62.0,303.0,492.0,950.0,291.0,942.0,489.0,50
0.4309,332.0,635.0,817.0,62.0,303.0,492.0,950.0,291.0,942.0,489.0,60
0.1,398.0,373.0,912.0,365.0,644.0,647.0,22.0,288.0,355.0,238.0,10
0.1865,398.0,373.0,912.0,365.0,644.0,647.0,22.0,288.0,355.0,238.0,20
0.2348,398.0,373.0,912.0,365.0,644.0,647.0,22.0,288.0,355.0,238.0,30
